pair_id,pair_type,beta,Delta_policy,Delta_ref,u,sigmoid_beta_u,gradient_scale,near_zero,saturated
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.05,0.00571475550532341,0.00571475550532341,0.0,0.5,0.025,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.1,0.00571475550532341,0.00571475550532341,0.0,0.5,0.05,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.2,0.00571475550532341,0.00571475550532341,0.0,0.5,0.1,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,0.5,0.00571475550532341,0.00571475550532341,0.0,0.5,0.25,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,1.0,0.00571475550532341,0.00571475550532341,0.0,0.5,0.5,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,2.0,0.00571475550532341,0.00571475550532341,0.0,0.5,1.0,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,5.0,0.00571475550532341,0.00571475550532341,0.0,0.5,2.5,True,False
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,10.0,0.00571475550532341,0.00571475550532341,0.0,0.5,5.0,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,0.05,0.011354699730873108,0.011354699730873108,0.0,0.5,0.025,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,0.1,0.011354699730873108,0.011354699730873108,0.0,0.5,0.05,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,0.2,0.011354699730873108,0.011354699730873108,0.0,0.5,0.1,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,0.5,0.011354699730873108,0.011354699730873108,0.0,0.5,0.25,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,1.0,0.011354699730873108,0.011354699730873108,0.0,0.5,0.5,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,2.0,0.011354699730873108,0.011354699730873108,0.0,0.5,1.0,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,5.0,0.011354699730873108,0.011354699730873108,0.0,0.5,2.5,True,False
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,10.0,0.011354699730873108,0.011354699730873108,0.0,0.5,5.0,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,0.05,0.013059079647064209,0.013059079647064209,0.0,0.5,0.025,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,0.1,0.013059079647064209,0.013059079647064209,0.0,0.5,0.05,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,0.2,0.013059079647064209,0.013059079647064209,0.0,0.5,0.1,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,0.5,0.013059079647064209,0.013059079647064209,0.0,0.5,0.25,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,1.0,0.013059079647064209,0.013059079647064209,0.0,0.5,0.5,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,2.0,0.013059079647064209,0.013059079647064209,0.0,0.5,1.0,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,5.0,0.013059079647064209,0.013059079647064209,0.0,0.5,2.5,True,False
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,10.0,0.013059079647064209,0.013059079647064209,0.0,0.5,5.0,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,0.05,0.0005199089646339417,0.0005199089646339417,0.0,0.5,0.025,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,0.1,0.0005199089646339417,0.0005199089646339417,0.0,0.5,0.05,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,0.2,0.0005199089646339417,0.0005199089646339417,0.0,0.5,0.1,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,0.5,0.0005199089646339417,0.0005199089646339417,0.0,0.5,0.25,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,1.0,0.0005199089646339417,0.0005199089646339417,0.0,0.5,0.5,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,2.0,0.0005199089646339417,0.0005199089646339417,0.0,0.5,1.0,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,5.0,0.0005199089646339417,0.0005199089646339417,0.0,0.5,2.5,True,False
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,10.0,0.0005199089646339417,0.0005199089646339417,0.0,0.5,5.0,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,0.05,0.027131497859954834,0.027131497859954834,0.0,0.5,0.025,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,0.1,0.027131497859954834,0.027131497859954834,0.0,0.5,0.05,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,0.2,0.027131497859954834,0.027131497859954834,0.0,0.5,0.1,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,0.5,0.027131497859954834,0.027131497859954834,0.0,0.5,0.25,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,1.0,0.027131497859954834,0.027131497859954834,0.0,0.5,0.5,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,2.0,0.027131497859954834,0.027131497859954834,0.0,0.5,1.0,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,5.0,0.027131497859954834,0.027131497859954834,0.0,0.5,2.5,True,False
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,10.0,0.027131497859954834,0.027131497859954834,0.0,0.5,5.0,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,0.05,0.017158538103103638,0.017158538103103638,0.0,0.5,0.025,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,0.1,0.017158538103103638,0.017158538103103638,0.0,0.5,0.05,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,0.2,0.017158538103103638,0.017158538103103638,0.0,0.5,0.1,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,0.5,0.017158538103103638,0.017158538103103638,0.0,0.5,0.25,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,1.0,0.017158538103103638,0.017158538103103638,0.0,0.5,0.5,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,2.0,0.017158538103103638,0.017158538103103638,0.0,0.5,1.0,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,5.0,0.017158538103103638,0.017158538103103638,0.0,0.5,2.5,True,False
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,10.0,0.017158538103103638,0.017158538103103638,0.0,0.5,5.0,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,0.05,0.0036029331386089325,0.0036029331386089325,0.0,0.5,0.025,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,0.1,0.0036029331386089325,0.0036029331386089325,0.0,0.5,0.05,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,0.2,0.0036029331386089325,0.0036029331386089325,0.0,0.5,0.1,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,0.5,0.0036029331386089325,0.0036029331386089325,0.0,0.5,0.25,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,1.0,0.0036029331386089325,0.0036029331386089325,0.0,0.5,0.5,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,2.0,0.0036029331386089325,0.0036029331386089325,0.0,0.5,1.0,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,5.0,0.0036029331386089325,0.0036029331386089325,0.0,0.5,2.5,True,False
protocol_v1_A_015_02202_collision_orbit_right_64_seed41202_background_drift_local,local_corruption,10.0,0.0036029331386089325,0.0036029331386089325,0.0,0.5,5.0,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,0.05,0.0033422261476516724,0.0033422261476516724,0.0,0.5,0.025,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,0.1,0.0033422261476516724,0.0033422261476516724,0.0,0.5,0.05,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,0.2,0.0033422261476516724,0.0033422261476516724,0.0,0.5,0.1,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,0.5,0.0033422261476516724,0.0033422261476516724,0.0,0.5,0.25,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,1.0,0.0033422261476516724,0.0033422261476516724,0.0,0.5,0.5,True,False
