pair_id,status,reasons
v11_SYN_0458_01101_drop_orbit_left_72_seed40101_object_duplicate_or_fragment,PASS,
v11_SYN_0424_01038_drop_orbit_left_72_seed40038_object_identity_color_shift,PASS,
v11_SYN_0437_01047_drop_orbit_left_72_seed40047_partial_freeze_foreground,PASS,
v11_SYN_0248_04248_containment_orbit_left_44_seed43248_reobserve_mismatch_visible,PASS,
v11_SYN_0535_03465_roll_orbit_right_60_seed42465_roll_event_fragment_synthetic,PASS,
v11_SYN_0444_01060_drop_orbit_left_72_seed40060_wrong_camera_motion_visible,PASS,
v11_SYN_0101_02328_collision_orbit_right_64_seed41328_background_drift_visible,PASS,
v11_SYN_0055_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0169_04249_containment_orbit_left_44_seed43249_containment_failure_synthetic,PASS,
v11_SYN_0427_01039_drop_orbit_left_72_seed40039_drop_motion_failure_synthetic,PASS,
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,PASS,
v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,PASS,
v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,PASS,
v11_SYN_0447_01079_drop_orbit_left_72_seed40079_local_scene_patch_drift,PASS,
v10_TypeM_052_04346_containment_orbit_left_44_seed43346_local_temporal_jump,PASS,
v11_SYN_EXTRA_0018_02226_collision_orbit_right_64_seed41226_object_deformation_visible,PASS,
v11_SYN_0470_01108_drop_orbit_left_72_seed40108_object_duplicate_or_fragment,PASS,
v11_SYN_0443_01060_drop_orbit_left_72_seed40060_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0166_04248_containment_orbit_left_44_seed43248_reobserve_mismatch_visible,PASS,
v11_SYN_0541_03472_roll_orbit_right_60_seed42472_roll_event_fragment_synthetic,PASS,
v11_SYN_0450_01079_drop_orbit_left_72_seed40079_wrong_camera_motion_visible,PASS,
v11_SYN_0113_02360_collision_orbit_right_64_seed41360_background_drift_visible,PASS,
v11_SYN_EXTRA_0037_02276_collision_orbit_right_64_seed41276_collision_response_failure_synthetic,PASS,
v11_SYN_0259_04252_containment_orbit_left_44_seed43252_containment_failure_synthetic,PASS,
v11_SYN_0433_01047_drop_orbit_left_72_seed40047_drop_motion_failure_synthetic,PASS,
v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,PASS,
v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,PASS,
v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,PASS,
v11_SYN_0453_01086_drop_orbit_left_72_seed40086_local_scene_patch_drift,PASS,
v10_TypeM_056_04358_containment_orbit_left_44_seed43358_local_temporal_jump,PASS,
v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible,PASS,
v11_SYN_0045_02259_collision_strafe_left_180_seed41259_object_duplicate_or_fragment,PASS,
v11_SYN_0449_01079_drop_orbit_left_72_seed40079_partial_freeze_foreground,PASS,
v11_SYN_0254_04249_containment_orbit_left_44_seed43249_reobserve_mismatch_visible,PASS,
v11_SYN_0553_03484_roll_orbit_right_60_seed42484_roll_event_fragment_synthetic,PASS,
v11_SYN_0456_01086_drop_orbit_left_72_seed40086_wrong_camera_motion_visible,PASS,
