exists,false_positive_reason,file_count,has_action,has_camera,has_gravity_metadata,has_intrinsics,has_mp4,matched_token,path,root,type
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed42,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed2046,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed42,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed2046,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed1024,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed1024,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed2046,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_001_Seed_42,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_001_Seed_42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_002_Seed_42,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_002_Seed_42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_003_Seed_2046,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_003_Seed_2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_003_Seed_1024,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_003_Seed_1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_004_Seed_1024,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_004_Seed_1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_001_Seed_1024,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_001_Seed_1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_004_Seed_42,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_004_Seed_42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_005_Seed_2046,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_005_Seed_2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_005_Seed_42,/home/nvme03,candidate_dir
True,,0,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_005_Seed_42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s_1_3B/PHY_GRAVITY_001_Seed_2046,/home/nvme03,candidate_dir
