row_index,manifest_kind,category,copy_source,destination_subdir,exists,file_type,size_bytes,sha256_status,copy_recommendation,copy_status,current_approved,review_priority,review_score,recommended_review_action,review_reason,safety_note
590,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/lib/python3.13/fractions.py,data,True,file,40090,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
593,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/lib/python3.13/site-packages/anaconda_auth/actions.py,data,True,file,10840,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
592,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/lib/python3.13/site-packages/anaconda_cloud_auth/actions.py,data,True,file,171,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
584,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/pkgs/python-3.10.20-h267e890_1_cpython/lib/python3.10/antigravity.py,data,True,file,500,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: gravity; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
583,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/pkgs/python-3.10.20-h267e890_1_cpython/lib/python3.10/fractions.py,data,True,file,28242,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
587,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/pkgs/python-3.13.13-hb7b561f_100_cp313/lib/python3.13/antigravity.py,data,True,file,500,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: gravity; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
586,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/pkgs/python-3.13.13-hb7b561f_100_cp313/lib/python3.13/fractions.py,data,True,file,40090,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
577,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/repos/FastWAM/experiments/libero/action_ensembler.py,data,True,file,1148,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
626,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/antigravity.py,data,True,file,500,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: gravity; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
625,data,physeditworld_or_gravity_candidate,/home/nvme03/envs/worldmodel_phys/lib/python3.10/fractions.py,data,True,file,28242,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
