sample_id,condition_id,template,camera_motion,model_key,status,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,pixel_l1,local_absdiff_p95,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M_B_camera_r8,ok,16,19.33321,0.860082,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,139.473343,111.942612,288.932194,0.48272,6.377115,0.0,0.077991,0.215686,0.1636,0.257354,0.0,0.557123
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M_C_camera_self_temporal_r4,ok,16,19.841572,0.873185,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,131.168227,108.105533,288.932194,0.453976,4.460705,0.0,0.075733,0.192157,0.019879,0.301576,0.0,0.523289
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M0_original_fast,ok,16,18.719919,0.870852,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,344.431908,342.359028,363.847991,0.946637,9.647956,0.0,0.08843,0.227451,1,0,0.0,0.813797
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M_B_camera_r8,ok,16,17.921377,0.82856,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,322.984547,327.804451,363.847991,0.887691,9.873574,0.0,0.092171,0.243137,1,0,0.0,0.789013
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M_C_camera_self_temporal_r4,ok,16,17.718095,0.834215,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,329.568414,351.466314,363.847991,0.905786,9.865522,0.0,0.094493,0.25098,1,0,0.0,0.788451
04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,M0_original_fast,ok,16,16.12242,0.821327,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,525.380334,510.42972,257.242341,2.042356,10.356347,0.0,0.105121,0.372549,1,0,0.0,0.763995
04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,M_B_camera_r8,ok,16,15.803871,0.807936,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,544.731613,543.747246,257.242341,2.117581,10.8478,0.0,0.108339,0.384314,1,0,0.0,0.755326
04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,M_C_camera_self_temporal_r4,ok,16,16.192261,0.814387,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,544.757074,524.221272,257.242341,2.11768,12.197584,0.0,0.105125,0.376471,1,0,0.0,0.762439
04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,M0_original_fast,ok,16,16.337177,0.861504,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,620.176726,586.470212,411.284692,1.507901,10.179663,0.0,0.097492,0.294118,1,0,0.0,0.780741
04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,M_B_camera_r8,ok,16,16.551328,0.865246,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,615.002845,568.053398,411.284692,1.495322,9.613574,0.0,0.094185,0.270588,1,0,0.0,0.784728
04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,M_C_camera_self_temporal_r4,ok,16,16.250374,0.858348,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1048.186788,906.782242,411.284692,2.548567,10.995584,0.0,0.097799,0.305882,1,0,0.0,0.778551
04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,M0_original_fast,ok,16,15.213512,0.781841,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1556.715517,1562.162086,1238.973632,1.256456,14.129344,0.0,0.122623,0.360784,1,0,0.0,0.738813
04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,M_B_camera_r8,ok,16,15.370753,0.793804,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1519.856239,1507.456021,1238.973632,1.226706,14.318735,0.0,0.121872,0.337255,1,0,0.0,0.744966
04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,M_C_camera_self_temporal_r4,ok,16,15.308883,0.787424,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1546.738322,1505.361737,1238.973632,1.248403,14.309867,0.0,0.121844,0.341176,1,0,0.0,0.741959
04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,M0_original_fast,ok,16,16.005997,0.809592,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1634.471606,1500.285545,892.444549,1.831455,14.208762,0.0,0.117212,0.321569,1,0,0.0,0.758432
04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,M_B_camera_r8,ok,16,16.664652,0.810474,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1651.039099,1454.332932,892.444549,1.850019,14.085409,0.0,0.106119,0.294118,1,0,0.0,0.766974
04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,M_C_camera_self_temporal_r4,ok,16,15.596682,0.794152,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,1714.267624,1522.78487,892.444549,1.920867,14.684768,0.0,0.121435,0.333333,1,0,0.0,0.747912
