sample_id,condition_id,template,camera_motion,model_key,rollout_set,status,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,pixel_l1,local_absdiff_p95,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M0_original_fast,first16,ok,12,19.568073,0.869378,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,132.395934,106.019787,288.783554,0.458461,5.633085,0.0,0.077687,0.2,0.042304,0.294676,0.0,0.525524
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M_B_camera_r8,first16,ok,12,19.354421,0.860393,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,142.043022,109.302332,288.783554,0.491867,6.714526,0.0,0.07759,0.211765,0.209334,0.243282,0.0,0.571745
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M_C_camera_self_temporal_r4,first16,ok,12,19.848708,0.873291,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,131.954533,105.903636,288.783554,0.456932,4.868714,0.0,0.075428,0.192157,0.034661,0.297027,0.0,0.528021
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M0_original_fast,first16,ok,12,18.744105,0.872062,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,340.367551,342.057763,360.918202,0.94306,10.19266,0.0,0.087822,0.227451,1,0,0.0,0.814523
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M_B_camera_r8,first16,ok,12,17.846539,0.826596,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,323.900113,332.322639,360.918202,0.897434,10.471382,0.0,0.092352,0.243137,1,0,0.0,0.78739
03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,M_C_camera_self_temporal_r4,first16,ok,12,17.638458,0.831727,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,329.338828,338.259467,360.918202,0.912503,10.963578,0.0,0.094627,0.254902,1,0,0.0,0.786585
03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,M0_original_fast,remaining16,missing_or_decode_failed,,,,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,,,,,,,,,,,,
03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,M_B_camera_r8,remaining16,ok,12,14.977064,0.756426,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,656.997196,647.631465,609.92387,1.077179,10.947911,0.0,0.119004,0.427451,1,0,0.0,0.726962
03435_roll_orbit_right_60_seed42435,v6b_03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,M_C_camera_self_temporal_r4,remaining16,ok,12,16.897068,0.856562,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,672.881106,668.919879,609.92387,1.103221,11.546398,0.0,0.1042,0.25098,1,0,0.0,0.78601
03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,M0_original_fast,remaining16,missing_or_decode_failed,,,,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,,,,,,,,,,,,
03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,M_B_camera_r8,remaining16,ok,12,16.828636,0.772748,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,398.682778,389.983495,467.837751,0.852182,7.258264,0.0,0.086753,0.317647,1,0,0.0,0.75582
03437_roll_orbit_right_60_seed42437,v6b_03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,M_C_camera_self_temporal_r4,remaining16,ok,12,17.104724,0.786725,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,401.255352,394.723518,467.837751,0.857681,6.818072,0.0,0.08491,0.301961,1,0,0.0,0.764163
