sample_id,model_key,condition_id,template,camera_motion,seed,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_gt,medium_hard_loser_candidate,failure_tags,written_reason,contact_sheet,generated_future,gt_future,R_total_proxy,PSNR,SSIM_global_proxy,sharpness_ratio_to_gt
02222_collision_orbit_right_64_seed41222,M_C_camera_self_temporal_r4,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,41222,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/02222_collision_orbit_right_64_seed41222_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/02222_collision_orbit_right_64_seed41222_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,0.752728,14.909095,0.832469,0.798195
02226_collision_orbit_right_64_seed41226,M0_original_fast,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,41226,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/02226_collision_orbit_right_64_seed41226_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/02226_collision_orbit_right_64_seed41226_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,0.670335,17.581387,0.892725,0.562123
02226_collision_orbit_right_64_seed41226,M_B_camera_r8,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,41226,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/02226_collision_orbit_right_64_seed41226_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/02226_collision_orbit_right_64_seed41226_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,0.61568,16.847362,0.885111,0.534637
02226_collision_orbit_right_64_seed41226,M_C_camera_self_temporal_r4,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,41226,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/02226_collision_orbit_right_64_seed41226_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/02226_collision_orbit_right_64_seed41226_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,0.712719,17.556287,0.900937,0.587688
03409_roll_orbit_right_60_seed42409,M0_original_fast,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,42409,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/03409_roll_orbit_right_60_seed42409_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/03409_roll_orbit_right_60_seed42409_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03409_roll_orbit_right_60_seed42409/clean_future_5_80.mp4,0.798813,21.070798,0.93395,0.607338
03409_roll_orbit_right_60_seed42409,M_B_camera_r8,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,42409,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/03409_roll_orbit_right_60_seed42409_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/03409_roll_orbit_right_60_seed42409_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03409_roll_orbit_right_60_seed42409/clean_future_5_80.mp4,0.812765,21.172941,0.937165,0.614753
03409_roll_orbit_right_60_seed42409,M_C_camera_self_temporal_r4,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,42409,,,,,,,,,no,yes,,yes,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/03409_roll_orbit_right_60_seed42409_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03409_roll_orbit_right_60_seed42409_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03409_roll_orbit_right_60_seed42409/clean_future_5_80.mp4,0.854132,20.947225,0.932355,0.644202
03410_roll_orbit_right_60_seed42410,M0_original_fast,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,42410,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/03410_roll_orbit_right_60_seed42410_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/03410_roll_orbit_right_60_seed42410_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,0.729189,13.661315,0.809778,0.976684
03410_roll_orbit_right_60_seed42410,M_B_camera_r8,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,42410,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/03410_roll_orbit_right_60_seed42410_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/03410_roll_orbit_right_60_seed42410_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,0.728803,13.528801,0.813409,1.000317
03410_roll_orbit_right_60_seed42410,M_C_camera_self_temporal_r4,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,42410,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,0.728351,13.576991,0.810396,1.025376
