pair_id,pair_type,source,condition_id,template,camera_motion,failure_type,PSNR,SSIM,mean_absdiff,sharpness_winner,sharpness_loser,sharpness_ratio,brightness,contrast,flicker,freeze_rate,local_absdiff_mean,local_absdiff_p95,reward_winner,reward_loser,reward_margin,R_bg,R_cam,R_fg,R_phys,R_reobs,R_quality,P_freeze,P_blur,R_total,status
v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,TypeM_v10_synthetic_visible,,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,local_temporal_jump,34.89880052180547,0.992349012348256,2.4845679998397827,1162.0816945538,1201.932746374339,1.0342928143288135,102.09623084435096,57.75258174412548,0.7695952859567745,0.0,10.611445426940918,65.0,1.0,0.848408,0.151592,0.868408,0.858408,0.828408,0.833408,0.848408,1.0,0.0,0.0,0.848408,SCORED
v10_TypeM_037_04204_containment_orbit_left_44_seed43204_local_patch_freeze,TypeM_v10_synthetic_visible,,04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,local_patch_freeze,37.028491102097675,0.9964234151057676,2.2751405835151672,756.5875323051218,757.0749950607853,1.0006442912871352,65.42725610977566,43.49176003251814,0.7317065514617344,0.0,7.057335376739502,34.0,1.0,0.88,0.12,0.9,0.89,0.86,0.865,0.88,1.0,0.0,0.0,0.88,SCORED
v10_TypeM_038_04209_containment_orbit_left_44_seed43209_local_patch_drift,TypeM_v10_synthetic_visible,,04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,local_patch_drift,35.20063181428114,0.9947990622671402,2.6141672134399414,625.8360232178119,624.2538985469434,0.9974719821013087,77.261572265625,58.93073336670328,0.47396878386612123,0.0,9.613624572753906,55.0,1.0,0.862663,0.137337,0.882663,0.872663,0.842663,0.847663,0.862663,0.997472,0.0,0.0,0.862663,SCORED
v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,foreground_identity_color_shift,33.10427749952186,0.9946636960543517,3.53145694732666,1226.7730381188887,1222.7454548884111,0.9967169288026004,106.14305388621796,53.05777414573214,1.2469532112564037,0.0,24.611927032470703,76.0,1.0,0.648401,0.351599,0.668401,0.658401,0.628401,0.633401,0.648401,0.996717,0.0,0.0,0.648401,SCORED
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,TypeM_v10_synthetic_visible,,04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,local_temporal_jump,34.9489143553474,0.9905052926167519,2.6939088106155396,1105.4361312781596,1114.7009984515796,1.0083811872100892,103.16749799679488,46.47313268307707,0.7782776413036545,0.0,17.16026496887207,73.0,1.0,0.754853,0.245147,0.774853,0.764853,0.734853,0.739853,0.754853,1.0,0.0,0.0,0.754853,SCORED
v10_TypeM_042_04248_containment_orbit_left_44_seed43248_local_patch_drift,TypeM_v10_synthetic_visible,,04248_containment_orbit_left_44_seed43248,containment,orbit_left_44,local_patch_drift,35.119734892938,0.9909969676790427,2.775888502597809,825.8111426308781,818.3258650558987,0.990935848186707,77.4534411308093,52.87222323628173,2.8715633574483026,0.0,11.83788013458252,62.0,1.0,0.830887,0.169113,0.850887,0.840887,0.810887,0.815887,0.830887,0.990936,0.0,0.0,0.830887,SCORED
v10_TypeM_043_04249_containment_orbit_left_44_seed43249_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,04249_containment_orbit_left_44_seed43249,containment,orbit_left_44,foreground_identity_color_shift,34.82141307931282,0.9975486819974879,2.987721174955368,533.5039058161346,565.7697809106704,1.0604791730337897,98.72674591846956,62.12132460179368,6.594920961186234,0.0,17.515417098999023,51.0,1.0,0.74978,0.25022,0.76978,0.75978,0.72978,0.73478,0.74978,1.0,0.0,0.0,0.74978,SCORED
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,TypeM_v10_synthetic_visible,,04252_containment_orbit_left_44_seed43252,containment,orbit_left_44,local_temporal_jump,35.237229463150925,0.9900956611087296,2.619071125984192,652.1120448356689,650.4928304931116,0.9975169691268586,74.03938238681891,43.787515453763746,0.2649442208051992,0.0,11.90711784362793,52.0,1.0,0.829898,0.170102,0.849898,0.839898,0.809898,0.814898,0.829898,0.997517,0.0,0.0,0.829898,SCORED
v10_TypeM_045_04260_containment_orbit_left_44_seed43260_local_patch_freeze,TypeM_v10_synthetic_visible,,04260_containment_orbit_left_44_seed43260,containment,orbit_left_44,local_patch_freeze,34.04939109418214,0.9954409497477954,2.7344643473625183,862.452397169465,858.2511254919665,0.9951286915238271,78.97670522836538,39.80388275546556,0.6472285009783227,0.0,15.67094612121582,82.0,1.0,0.776129,0.223871,0.796129,0.786129,0.756129,0.761129,0.776129,0.995129,0.0,0.0,0.776129,SCORED
v10_TypeM_046_04267_containment_orbit_left_44_seed43267_local_patch_drift,TypeM_v10_synthetic_visible,,04267_containment_orbit_left_44_seed43267,containment,orbit_left_44,local_patch_drift,35.67005369181849,0.9919016834039768,2.449439764022827,1032.8101078302714,1043.8549566511117,1.0106939782312447,106.93503543169071,45.9722729456247,1.1266206976334485,0.0,11.573282241821289,68.0,1.0,0.834667,0.165333,0.854667,0.844667,0.814667,0.819667,0.834667,1.0,0.0,0.0,0.834667,SCORED
