source,line_no,pair_id,pair_type,v14_pair_source,schema_ok,errors,prefix_exists,winner_full_exists,winner_future_exists,loser_full_exists,loser_future_exists
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,195,v11_SYN_0471_01108_drop_orbit_left_72_seed40108_local_scene_patch_drift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,196,v10_TypeM_036_v6_02226_collision_orbit_right_64_seed41226_local_temporal_jump,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,197,v11_SYN_0146_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_object_deformation_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path,False,False,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,198,v11_SYN_0237_04228_containment_orbit_left_44_seed43228_object_duplicate_or_fragment,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,199,v11_SYN_0448_01079_drop_orbit_left_72_seed40079_object_identity_color_shift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,200,v11_SYN_0461_01101_drop_orbit_left_72_seed40101_partial_freeze_foreground,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,201,v11_SYN_EXTRA_0174_04252_containment_orbit_left_44_seed43252_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,202,v11_SYN_0565_03495_roll_orbit_right_60_seed42495_roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,203,v11_SYN_0474_01108_drop_orbit_left_72_seed40108_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,204,v11_SYN_0497_03413_roll_orbit_right_60_seed42413_background_drift_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,205,v11_SYN_0067_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,206,v11_SYN_0271_04267_containment_orbit_left_44_seed43267_containment_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,207,v11_SYN_0451_01086_drop_orbit_left_72_seed40086_drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,208,v10_TypeM_051_04342_containment_orbit_left_44_seed43342_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,209,v10_TypeM_054_04355_containment_orbit_left_44_seed43355_local_patch_drift,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,210,v10_TypeM_057_prefix5_anchored_1279c3b65a6d9e_object_identity_change_local_patch_freeze,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,211,v11_SYN_0016_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,212,v10_TypeM_080_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_local_temporal_jump,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,213,v11_SYN_EXTRA_0102_prefix5_anchored_525c18bc4422f0_background_drift_object_deformation_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path,False,False,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,214,v11_SYN_0255_04249_containment_orbit_left_44_seed43249_object_duplicate_or_fragment,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,215,v11_SYN_0473_01108_drop_orbit_left_72_seed40108_partial_freeze_foreground,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,216,v11_SYN_0266_04260_containment_orbit_left_44_seed43260_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,217,v11_SYN_0571_03505_roll_orbit_right_60_seed42505_roll_event_fragment_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,218,v11_SYN_0488_03410_roll_orbit_right_60_seed42410_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,219,v11_SYN_0503_03418_roll_orbit_right_60_seed42418_background_drift_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,220,v11_SYN_EXTRA_0045_02286_collision_orbit_right_64_seed41286_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,221,v11_SYN_EXTRA_0181_04267_containment_orbit_left_44_seed43267_containment_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,222,v11_SYN_0457_01101_drop_orbit_left_72_seed40101_drop_motion_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,223,v10_TypeM_055_04357_containment_orbit_left_44_seed43357_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,224,v10_TypeM_058_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_local_patch_drift,TypeM_v10_synthetic_visible,,False,missing_condition_prefix_video_path|missing_winner_full_video_path|missing_winner_future_video_path|missing_loser_full_video_path|missing_loser_future_video_path,False,False,False,False,False
