subset,pair_id,backend,frame_indices,num_frames,winner_video,loser_video,winner_distance_to_reference,loser_distance_to_reference,vjepa_margin,token_relation_winner,token_relation_loser,token_relation_margin,status,error_reason,seconds
stratified100,v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump/loser_full_prefix5_future.mp4,0.0
stratified100,v11_SYN_0056_02276_collision_orbit_right_64_seed41276_object_deformation_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02276_collision_orbit_right_64_seed41276/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0056_02276_collision_orbit_right_64_seed41276_object_deformation_visible/loser_future.mp4,0.0,0.0007483363151550293,0.0007483363151550293,0.0,0.030056826770305634,0.030056826770305634,ok,,6.88
stratified100,v11_SYN_0398_01014_drop_orbit_left_72_seed40014_object_duplicate_or_fragment,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01014_drop_orbit_left_72_seed40014/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0398_01014_drop_orbit_left_72_seed40014_object_duplicate_or_fragment/loser_future.mp4,0.0,0.00043487548828125,0.00043487548828125,0.0,0.022673537954688072,0.022673537954688072,ok,,6.992
stratified100,v11_SYN_0388_01008_drop_orbit_left_72_seed40008_object_identity_color_shift,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01008_drop_orbit_left_72_seed40008/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0388_01008_drop_orbit_left_72_seed40008_object_identity_color_shift/loser_future.mp4,0.0,0.00039446353912353516,0.00039446353912353516,0.0,0.02357197366654873,0.02357197366654873,ok,,7.13
stratified100,v11_SYN_0395_01013_drop_orbit_left_72_seed40013_partial_freeze_foreground,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01013_drop_orbit_left_72_seed40013/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0395_01013_drop_orbit_left_72_seed40013_partial_freeze_foreground/loser_future.mp4,0.0,0.0004388093948364258,0.0004388093948364258,0.0,0.028536416590213776,0.028536416590213776,ok,,6.889
stratified100,v11_SYN_0230_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0230_04214_containment_orbit_left_44_seed43214_reobserve_mismatch_visible/loser_future.mp4,0.0,0.000519871711730957,0.000519871711730957,0.0,0.022268882021307945,0.022268882021307945,ok,,8.26
stratified100,v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03413_roll_orbit_right_60_seed42413/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0493_03413_roll_orbit_right_60_seed42413_roll_event_fragment_synthetic/loser_future.mp4,0.0,0.0004748106002807617,0.0004748106002807617,0.0,0.02887468785047531,0.02887468785047531,ok,,6.956
stratified100,v11_SYN_0396_01013_drop_orbit_left_72_seed40013_wrong_camera_motion_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01013_drop_orbit_left_72_seed40013/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0396_01013_drop_orbit_left_72_seed40013_wrong_camera_motion_visible/loser_future.mp4,0.0,0.0003178715705871582,0.0003178715705871582,0.0,0.023801976814866066,0.023801976814866066,ok,,7.006
stratified100,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4.mp4,0.0
stratified100,v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible/loser_future.mp4,0.0,0.0007932782173156738,0.0007932782173156738,0.0,0.03139304742217064,0.03139304742217064,ok,,5.917
stratified100,v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0031_02228_collision_orbit_right_64_seed41228_collision_response_failure_synthetic/loser_future.mp4,0.0,0.0006905198097229004,0.0006905198097229004,0.0,0.03207525238394737,0.03207525238394737,ok,,7.456
stratified100,v11_SYN_EXTRA_0153_04214_containment_orbit_left_44_seed43214_containment_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04214_containment_orbit_left_44_seed43214/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0153_04214_containment_orbit_left_44_seed43214_containment_failure_synthetic/loser_future.mp4,0.0,0.0005881786346435547,0.0005881786346435547,0.0,0.024305785074830055,0.024305785074830055,ok,,7.06
