base_pair_id,candidate_pair_id,pair_type,corruption_type,severity,strength,reward_winner,reward_loser,reward_margin,sharpness_ratio,psnr_future,ssim_future_proxy,lpips_future,fvd,vbench,hardness,medium_hard,reasons,subreward_alignment,written_reason,margin_bg,margin_cam,margin_fg,margin_phys,margin_reobs,margin_quality,margin_freeze,margin_blur
protocol_v3_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,protocol_v4_TypeAplus_007_s1_weak_background_drift_local,TypeA_plus,background_drift_local,s1_weak,0.55,1.0,0.9042805099808409,0.09571949001915914,0.8482250554491158,31.628774544552275,0.9936474632574542,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,background_drift_local severity s1_weak: rejected by TOO_SUBTLE.,0.18700000000000006,0.08799999999999997,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.15177494455088425
protocol_v3_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,protocol_v4_TypeAplus_007_s2_medium_background_drift_local,TypeA_plus,background_drift_local,s2_medium,0.85,1.0,0.8828111675222069,0.1171888324777931,0.862284264012261,31.20869162148368,0.9929698364089372,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,background_drift_local severity s2_medium: rejected by TOO_SUBTLE.,0.28900000000000003,0.136,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.137715735987739
protocol_v3_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,protocol_v4_TypeAplus_007_s3_strong_background_drift_local,TypeA_plus,background_drift_local,s3_strong,1.1,1.0,0.8635042207986651,0.13649577920133493,0.8661345599925843,30.41521656758944,0.9916003624017705,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,background_drift_local severity s3_strong: clean GT winner is preferred; loser remains clear and local.,0.3740000000000001,0.17600000000000005,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.13386544000741574
protocol_v3_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,protocol_v4_TypeAplus_007_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,1.65,1.0,0.8246599871161201,0.1753400128838799,0.8947777062006667,29.535685004061435,0.9897118489368695,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,background_drift_local severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.561,0.264,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.10522229379933334
protocol_v3_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,protocol_v4_TypeAplus_008_s1_weak_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s1_weak,0.55,1.0,0.9143747044753516,0.08562529552464837,0.9043039137519535,30.02958599201117,0.9908053640724968,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,wrong_camera_motion_local severity s1_weak: rejected by TOO_SUBTLE.,0.08799999999999997,0.18700000000000006,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.09569608624804649
protocol_v3_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,protocol_v4_TypeAplus_008_s2_medium_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s2_medium,0.85,1.0,0.8905404440824506,0.10945955591754941,0.9052246893469477,29.897968467026494,0.9904533502854141,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,wrong_camera_motion_local severity s2_medium: rejected by TOO_SUBTLE.,0.136,0.28900000000000003,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.09477531065305234
protocol_v3_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,protocol_v4_TypeAplus_008_s3_strong_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s3_strong,1.1,1.0,0.8691718104455249,0.13082818955447506,0.8976211691418055,29.603001756292,0.989789472094688,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,wrong_camera_motion_local severity s3_strong: clean GT winner is preferred; loser remains clear and local.,0.17600000000000005,0.3740000000000001,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.10237883085819455
protocol_v3_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,protocol_v4_TypeAplus_008_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,1.65,1.0,0.8251322807852606,0.17486771921473943,0.8974015599181139,29.10729884489514,0.9884492230494352,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,wrong_camera_motion_local severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.264,0.561,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.050000000000000044,0.0,0.10259844008188612
protocol_v3_A_009_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,protocol_v4_TypeAplus_009_s1_weak_object_deformation_local,TypeA_plus,object_deformation_local,s1_weak,0.55,1.0,0.9346549341354599,0.06534506586454014,0.9543051896414438,48.482397960205745,0.999870343103477,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_deformation_local severity s1_weak: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.18700000000000006,0.030000000000000027,0.030000000000000027,0.040000000000000036,0.0,0.04569481035855616
protocol_v3_A_009_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,protocol_v4_TypeAplus_009_s2_medium_object_deformation_local,TypeA_plus,object_deformation_local,s2_medium,0.85,1.0,0.9144432300210027,0.0855567699789973,0.9543512778944595,48.540279715463946,0.999871808294855,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_deformation_local severity s2_medium: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.28900000000000003,0.030000000000000027,0.030000000000000027,0.0595,0.0,0.045648722105540496
